116	1634	7	18.46
102	15500	6	29.96
174	581	3	5.16
35799	12	3	18.78
104	13871	5	22.64
743	1384	3	21.31
5729	106	5	12.29
269	239	14	58.65
6748	112	3	10.79
616	609	3	15.16
142	777	7	19.65
2062	4604	3	35.99
106	37822	3	24.28
12	10708	8	28.62
5478	1247	3	34.14
907	112	8	10.41
106	540	16	5.13
102	31538	3	17.16
108	2922	8	23.65
762	181	12	59.71
3897	105	4	4.27
20794	20675	6	165.2
3086	342	3	22.12
3141	15956	3	50.03
470	119	8	6.84
111	5686	3	9.39
2710	126	5	18.92
766	239	7	35.5
3382	12	11	13.01
321	102	312	1180.32
1970	368	5	37.8
22562	102	4	21.27
1346	14	27	28.46
325	101	60	9.81
104	13153	3	9.44
535	21179	3	41.79
27125	12	4	25.04
117	1932	5	11.78
105	8532	9	41.19
5675	105	3	4.03
363	86	5	11.04
12	11339	3	4.84
101	11998	3	4.7
11969	14	3	5.35
8	23633	5	60.8
5703	106	3	4.66
23999	120	3	25.4
5248	12	5	4.12
1318	110	8	13.13
2750	120	4	11.15
207	296	3	4.07
7899	124	3	15.49
102	25963	5	36
9900	12	4	7.23
136	4839	7	44.81
111	4269	4	11.98
468	267	26	183.23
165	1131	10	50.51
137	225	22	44.23
167	390	9	25.92
4	1874	16	113.28
15826	8	4	36.3
108	1960	17	60
1306	107	9	13.84
225	171	14	33.31
2404	106	12	26.2
4234	106	7	16.66
101	18572	3	9
7303	112	20	168.75
304	104	30	3.85
1640	139	9	41.69
3828	12867	6	109.56
6711	14	7	13.6
11958	112	3	15.53
104	6923	3	4.46
5690	103	5	9.7
446	155	5	8.21
161	398	19	80.89
661	589	3	15.33
1439	7131	4	51.96
105	2302	18	46.85
7283	109	3	9.75
1335	967	3	22.73
1684	116	5	10.54
104	2728	10	16.43
2353	106	10	18.09
132	3154	4	16.49
133	3542	3	11.68
104	6674	4	7.69
382	104	30	9.78
1400	102	95	430.05
3480	146	5	26.72
863	652	4	25.79
10900	14	4	8.31
103	4840	4	4.81
105	4560	5	8.61
2010	122	9	34.92
101	5368	11	22.42
104	4180	7	12.88
102	4956	21	91.58
15296	12	4	12.12
1355	109	7	8.92
125	4035	17	120.53
130	19749	4	36.57
717	583	4	23.27
214	634	24	162.51
152	1831	9	47.1
3140	140	3	11.78
458	913	4	23.52
8858	12	5	9.68
356	198	5	11.66
6247	678	5	57.6
123	1459	8	24.51
151	769	3	4.65
1197	116	8	18.27
183	726	3	6.85
1511	2036	3	28.21
1606	139	3	7.55
515	1453	3	19.43
102	23076	4	21.27
898	104	20	16.97
1920	102	58	239.61
215	3920	3	19.86
134	128	37	18.11
129	1236	9	30.33
3221	115	25	167.74
4	32327	3	39.64
162	1652	10	58.24
105	1338	10	6.84
284	383	5	17.95
101	2139	12	5.58
104	3318	5	4.38
105	3442	18	63.72
14759	12	9	49.94
415	1188	7	51.77
8247	102	4	8.6
249	4681	3	22.13
10452	344	6	73.91
507	114	8	6.56
130	5953	3	14.31
134	4369	5	27.17
160	817	4	10.2
105	2018	15	30.1
103	3475	6	7.35
3821	2007	5	62.84
5744	108	4	12.62
1892	109	5	6.53
101	39427	3	18.16
7230	14	6	11.11
2465	367	4	30.47
121	1362	9	27.02
210	127	163	824.25
2762	420	3	22.76
409	4665	4	37.39
10098	12	10	40.2
469	109	19	21.96
6579	101	10	23.63
4525	103	4	4.3
7599	14	4	5.1
1364	275	3	14.84
142	23006	3	28.75
148	888	10	38.73
1187	104	23	34.22
113	918	20	63.6
1856	124	4	9.36
30849	14	3	14.53
23450	12	4	20.13
3495	1139	3	30.19
2982	1730	3	31.78
12	10190	4	7.65
103	9066	4	10.73
556	1621	3	20.72
6877	283	3	26.58
1123	155	24	153.36
234	225	4	5.55
5522	106	3	4.53
57	4478	15	90.99
1524	104	39	115.3
4078	412	3	25.34
795	116	15	40.03
1816	114	3	3.87
2237	108	7	14.96
14389	14	4	11.44
4727	2841	5	69.61
2032	14	26	45.34
346	1412	13	112.12
1908	269	4	24.69
316	208	4	7.76
1309	117	4	5.21
112	3180	4	9.65
256	130	23	44.88
978	5927	6	75.46
4827	103	7	15.1
7892	14	4	5.37
668	86	3	6.87
4	1034	8	35.19
26427	101	4	19.31
1642	24978	3	50.38
8483	103	4	9.98
121	26781	3	25.99
101	14837	3	6.64
706	112	9	9.54
11135	1034	4	54.78
9595	12	4	6.83
7932	107	8	43.94
610	1475	3	20.49
12	12764	3	5.63
1418	117	4	5.66
6119	222	3	23.37
2445	496	14	150.7
23968	103	3	15.85
101	10655	6	16.14
15455	12	3	7.19
2024	107	9	21.02
319	487	26	199.06
107	3089	6	14.73
107	606	13	11.57
4855	108	4	11.12
3736	12	17	37.62
666	102	19	4.71
1218	18484	3	44.56
13383	14	4	10.68
152	703	4	7.32
685	107	13	13.43
2151	367	3	20.16
125	593	12	26.45
4874	105	12	43.05
208	645	10	49.41
6916	14	5	7
126	988	12	39.95
621	923	17	160.35
5897	103	4	6.59
300	583	3	10.81
1256	130	8	25.6
28787	1984	4	77.78
426	782	3	14.74
239	4336	5	41.06
546	357	9	54.19
995	14	43	54.76
2015	101	26	39.4
3043	105	13	33.75
128	3801	7	37.39
283	827	3	12.22
101	2709	20	33.08
105	4027	10	27.21
101	985	40	38.04
105	5513	6	14.8
2011	102	23	51.56
4599	511	4	38.74
411	141	12	31.29
101	6695	12	34.05
101	5048	12	24.8
8470	106	3	7.43
1054	515	3	17.5
8116	200	5	46.35
895	275	5	25.57
102	7530	5	11.71
103	7390	4	8.71
105	3172	7	10.84
104	1188	11	5.07
8525	12	6	13.21
134	357	38	159.37
9473	153	3	21.45
7071	104	3	4.63
105	16474	3	12.26
332	3669	4	33.29
150	608	26	130.69
2764	12	12	12.03
101	34902	3	18.16
153	2468	3	11.36
25470	101	3	11.63
847	631	3	17.38
111	11188	4	22.41
516	107	15	13.04
26773	431	3	42.2
10082	478	4	47.39
103	17984	3	12.14
155	913	3	5.98
9060	12	5	10.15
1161	2102	9	100.78
122	149	37	19.65
124	2863	5	18.38
778	138	19	83.82
358	4647	3	25.35
6550	104	3	4.13
510	868	8	59.17
1561	152	4	13.3
1374	427	3	18.15
35029	36313	3	86.76
215	349	9	33.91
1780	499	3	20.54
103	2634	8	9.62
252	439	5	17.18
128	792	28	131.54
129	916	8	20.76
4303	106	4	5.74
130	2997	6	27.02
30242	12	4	25.04
189	192	13	26.27
6381	14	7	12.75
104	560	22	8.5
694	1108	3	19.47
220	3151	3	18.41
131	885	8	21.66
161	107	172	346.4
216	2687	4	25.39
2166	151	6	28.83
102	4519	15	48.86
101	5939	11	25.4
1597	147	5	18.32
953	940	8	70.54
102	18253	3	11.29
16	764	8	28.16
24977	16100	5	127.13
844	1417	3	22.29
238	1174	3	12.77
19446	102	3	12.26
426	1180	3	17.2
1925	122	30	188.23
6590	110	4	15.09
487	739	4	22.18
7550	553	3	31.77
110	1599	6	9.08
1624	12	23	24.94
111	3579	5	15.01
105	29697	3	19.02
13005	9	3	23.09
12	28307	4	25.04
115	3976	5	19.02
143	371	7	10.95
616	103	31	27.96
1002	175	3	7.99
592	252	7	32.34
5706	138	3	15.46
103	10047	4	12.06
877	2321	3	25.77
113	5467	4	15.73
1927	435	3	20.34
968	266	4	19.01
1480	953	3	23.25
366	1471	3	17.66
269	582	5	20.98
329	513	11	67.14
328	131	19	46.92
1351	129	3	4.8
142	2665	3	11.05
119	1035	10	24.86
395	6459	4	40.78
8814	122	3	15.85
3477	484	4	35.58
408	1408	3	18.07
1399	778	4	31.27
108	4206	3	5.8
109	4602	3	6.42
11670	106	4	15.98
777	13539	7	106.06
141	407	10	22.71
21808	103	3	14.31
5816	301	3	25.97
3983	124	4	15.85
1590	12	25	29.16
1552	197	3	12.29
505	180	3	4.91
109	1296	9	14.47
106	1700	9	9.73
138	108	295	592.21
106	4070	8	20.52
2055	361	3	19.67
7622	519	13	181.89
101	11465	3	4.7
18338	626	3	40.41
3658	14	7	4.97
1932	140	3	8.66
18461	101	3	8.07
263	4607	4	32.43
431	1227	3	17.48
5124	119	5	23.17
101	14105	6	21.66
205	175	11	18.88
5374	525	3	28.69
9115	112	20	199.56
113	187	106	265.1
117	3380	44	373.01
144	1430	4	11.86
171	551	3	4.87
5656	9327	5	88.28
113	872	17	47.35
114	741	8	10.87
111	21766	4	32.04
1546	154	3	8.8
2601	112	4	8.05
9987	107	4	18.3
101	9857	7	19.41
3161	14	17	31.68
101	31213	4	24.21
5435	107	3	7.37
831	159	3	6.14
102	41185	3	21.6
1488	2535	3	29.6
469	175	3	4.19
2581	109	8	21.76
1839	131	3	6.9
240	1871	7	48.46
179	172	56	222.57
5446	102	4	4.95
16351	101	4	12.34
122	864	6	9.38
121	749	13	33.02
273	2642	4	27.94
1542	2007	9	105.27
2592	104	7	6.83
549	12	35	8.16
127	5236	4	19.71
868	1247	24	277.22
3152	109	3	4.22
2128	107	25	111.33
189	151	19	29.95
129	189	37	65.6
134	1303	3	5.75
315	227	3	5.15
105	2577	20	61.76
28414	15754	4	101.01
105	5085	4	6.26
2616	965	6	62.96
513	759	13	105.51
2588	14	16	22.04
381	314	4	13.92
103	6794	6	16.1
101	7258	21	99.11
573	106	30	35.61
15028	14	3	7.33
6484	12	6	9.34
101	1708	69	218.78
12	1304	26	23.97
102	561	110	298.75
134	2061	8	37.16
3885	139	3	13.18
820	8	3	3.96
104	2948	6	5.81
756	2076	3	24.09
4322	28555	4	85.17
2533	2000	3	31.61
30520	124	3	28.92
12988	12	4	10.48
356	340	3	9.02
28096	104	3	18.06
105	20407	3	14.08
155	879	11	47.57
181	145	12	7.87
6373	177	6	49.85
123	845	13	38.14
4963	104	8	20.01
8412	107	8	45.62
519	594	4	20.98
1093	106	10	5.91
389	129	93	533.91
6246	773	3	32.27
101	19697	3	9
2726	144	10	62
2698	104	8	9.93
124	1491	3	4.35
416	1284	3	17.58
413	113	9	5.48
3485	119	3	8.12
4152	109	3	5.82
12469	12	3	5.63
1081	111	14	35.03
103	5454	4	5.86
105	5734	3	4.03
104	1114	14	9.43
131	1856	4	11.36
130	3838	4	17.08
4371	2662	7	100.14
284	157	5	4.92
12	3138	10	9.32
2642	110	4	7.09
102	1211	44	107.58
134	646	4	4.8
128	1900	3	6.61
132	384	8	11.46
5260	122	5	24.78
130	3609	5	22.77
12	7005	4	4.22
7029	106	3	6.1
105	5551	3	3.9
15506	109	4	24.18
32766	12	3	18.78
115	31422	3	27.03
121	1214	26	126.26
106	10573	3	9.3
2081	103	9	8.61
1473	121	5	10.41
3119	125	6	25.34
4050	138	6	34.12
7352	105	7	24.68
323	153	6	7.92
3735	904	9	108.74
169	710	7	24.3
1659	113	7	16.72
107	1507	8	12.52
110	640	10	8.38
9862	14	4	7.4
4650	152	10	77.19
102	8451	12	56.64
1451	12	16	6.75
3499	104	51	307.05
6532	276	3	25.9
494	1094	6	43.32
101	12052	4	8.46
113	635	43	168.46
113	3122	7	25.86
6848	1599	26	478.32
805	366	3	14.09
4289	102	8	15.11
493	7500	3	31.05
609	121	11	20.72
10273	104	3	7.33
331	1479	6	42.4
235	196	7	12.71
4	18535	6	73.55
2308	101	62	232.57
14204	106	5	25.53
265	103	46	11.87
105	8606	5	16.72
3527	107	5	12
14145	12	4	11.25
101	9414	5	9.76
7654	105	3	6.02
101	11771	3	4.7
3111	119	5	17.16
3320	104	6	6.85
6295	108	3	8.47
228	1306	3	13.03
137	1020	3	4.57
2203	1927	3	30.35
108	1230	20	57.5
3631	270	3	21.27
8074	8	3	18.76
435	108	11	3.96
1785	105	7	4.26
1338	240	3	13.61
733	196	37	278.96
106	486	29	26
107	121	265	237.1
2574	119	3	6.33
13610	12	3	6.09
2146	122	3	5.93
4419	116	3	9.49
7835	106	6	22.21
102	14069	3	9.15
